Player,Age
Rudy Gay,32
Rudy Gobert,26
Russell Westbrook,30
Ryan Anderson,30
Ryan Arcidiacono,24
Ryan Broekhoff,28
Salah Mejri,32
Sam Dekker,24
Scott Machado,28
Semi Ojeleye,24
Serge Ibaka,29
Seth Curry,28
Shabazz Napier,27
Shai Gilgeous-Alexander,20
Shake Milton,22
Shaquille Harrison,25
Shaun Livingston,33
Shelvin Mack,28
Sindarius Thornwell,24
Skal Labissière,22
Solomon Hill,27
Spencer Dinwiddie,25
Stanley Johnson,22
Stephen Curry,30
Sterling Brown,23
Steven Adams,25
Sviatoslav Mykhailiuk,21
T.J. Leaf,21
T.J. McConnell,26
T.J. Warren,25
Tahjere McCall,24
Taj Gibson,33
Taurean Waller-Prince,24
Terrance Ferguson,20
Terrence Jones,27
Terrence Ross,27
Terry Rozier,24
Thabo Sefolosha,34
Thaddeus Young,30
Theo Pinson,23
Thomas Bryant,21
Thomas Welsh,22
Thon Maker,21
Tim Frazier,28
Tim Hardaway,26
Timothé Luwawu-Cabarrot,23
Tobias Harris,26
Tomáš Satoranský,27
Tony Bradley,21
Tony Parker,36
Tony Snell,27
Torrey Craig,28
Trae Young,20
Treveon Graham,25
Trevon Duval,20
Trevor Ariza,33
Trey Burke,26
Trey Lyles,23
Tristan Thompson,27
Troy Brown,19
Troy Caupain,23
Troy Daniels,27
Troy Williams,24
Tyler Cavanaugh,24
Tyler Davis,21
Tyler Dorsey,22
Tyler Johnson,26
Tyler Lydon,22
Tyler Ulis,23
Tyler Zeller,29
Tyreke Evans,29
Tyrone Wallace,24
Tyson Chandler,36
Tyus Jones,22
Udonis Haslem,38
Victor Oladipo,26
Vince Carter,42
Vince Edwards,22
Wade Baldwin,22
Walt Lemon,26
Wayne Ellington,31
Wayne Selden,24
Wendell Carter,19
Wesley Iwundu,24
Wesley Johnson,31
Wesley Matthews,32
Will Barton,28
Willie Cauley-Stein,25
Willy Hernangómez,24
Wilson Chandler,31
Yante Maten,22
Yogi Ferrell,25
Yuta Watanabe,24
Zach Collins,21
Zach LaVine,23
Zach Lofton,26
Zaza Pachulia,34
Zhaire Smith,19
Zhou Qi,23
