Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
2016-17,Regular,26,23/12/16,31,31.98,CLE,Home,BRK,Win,20,27.3,7,16,0.438,0,3,0,5,6,0.833,1,3,4,6,3,0,1,0,19,18,32
2016-17,Regular,27,25/12/16,31,31.99,CLE,Home,GSW,Win,1,40.2,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,2,31,24.4,4
2016-17,Regular,Did Not Play,26/12/16,31,31.99,CLE,Away,DET,Lose,-16,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,28,29/12/16,31,32,CLE,Home,BOS,Win,6,43.7,9,18,0.5,2,6,0.333,3,7,0.429,2,6,8,11,1,3,8,2,23,17.6,1
2016-17,Regular,29,31/12/16,32,32,CLE,Away,CHO,Win,12,35.8,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,1,32,27,17
2016-17,Regular,30,2/1/17,32,32.01,CLE,Home,NOP,Win,8,38.9,9,21,0.429,0,4,0,8,10,0.8,2,5,7,6,2,1,4,1,26,19.5,-4
2016-17,Regular,31,4/1/17,32,32.01,CLE,Home,CHI,Lose,-12,36.9,12,21,0.571,1,2,0.5,6,9,0.667,2,6,8,7,1,0,5,2,31,23.2,-13
2016-17,Regular,32,6/1/17,32,32.02,CLE,Away,BRK,Win,8,35.3,14,20,0.7,0,1,0,8,10,0.8,0,9,9,6,3,0,5,2,36,30.9,20
2016-17,Regular,33,8/1/17,32,32.02,CLE,Away,PHO,Win,4,39.5,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,3,28,18.9,-2
2016-17,Regular,34,10/1/17,32,32.03,CLE,Away,UTA,Lose,-8,36.9,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,0,29,24.3,-8
2016-17,Regular,35,11/1/17,32,32.03,CLE,Away,POR,Lose,-16,30.5,5,12,0.417,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,1,20,16,-7
2016-17,Regular,36,13/1/17,32,32.04,CLE,Away,SAC,Win,12,41.7,6,12,0.5,1,4,0.25,3,3,1,0,2,2,15,1,1,5,2,16,17,16
2016-17,Regular,37,16/1/17,32,32.05,CLE,Away,GSW,Lose,-35,35,6,18,0.333,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,1,20,7.8,-32
2016-17,Regular,38,19/1/17,32,32.05,CLE,Home,PHO,Win,15,39.1,8,12,0.667,0,2,0,5,8,0.625,0,9,9,15,1,2,4,2,21,25.4,14
2016-17,Regular,39,21/1/17,32,32.06,CLE,Home,SAS,Lose,-3,45.3,11,16,0.688,2,5,0.4,5,7,0.714,0,6,6,7,2,0,7,5,29,21.1,-16
2016-17,Regular,40,23/1/17,32,32.07,CLE,Away,NOP,Lose,-2,43.7,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,2,26,22.7,-11
2016-17,Regular,41,25/1/17,32,32.07,CLE,Home,SAC,Lose,-4,44.8,8,15,0.533,0,3,0,8,11,0.727,4,9,13,11,2,1,5,3,24,25.2,-1
2016-17,Regular,42,27/1/17,32,32.08,CLE,Home,BRK,Win,8,34.2,13,18,0.722,1,3,0.333,4,7,0.571,0,5,5,11,0,0,5,1,31,26.2,22
2016-17,Regular,43,29/1/17,32,32.08,CLE,Home,OKC,Win,16,36.8,9,18,0.5,0,2,0,7,10,0.7,1,13,14,8,1,0,2,1,25,23.6,10
2016-17,Regular,44,30/1/17,32,32.08,CLE,Away,DAL,Lose,-7,37.3,9,19,0.474,1,6,0.167,4,8,0.5,0,9,9,9,2,0,5,0,23,17.7,-8
2016-17,Regular,45,1/2/17,32,32.09,CLE,Home,MIN,Win,28,34.5,11,14,0.786,1,2,0.5,4,7,0.571,0,8,8,12,2,1,2,1,27,31.5,16
2016-17,Regular,46,4/2/17,32,32.1,CLE,Away,NYK,Win,7,39.6,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,1,32,25.5,11
2016-17,Regular,47,6/2/17,32,32.1,CLE,Away,WAS,Win,5,42.1,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,6,32,32,0
2016-17,Regular,48,8/2/17,32,32.11,CLE,Away,IND,Win,15,38.3,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,2,25,22,8
2016-17,Regular,49,9/2/17,32,32.11,CLE,Away,OKC,Lose,-9,40.9,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,1,18,13.9,-4
2016-17,Regular,50,11/2/17,32,32.12,CLE,Home,DEN,Win,16,33.2,11,16,0.688,1,1,1,4,4,1,0,5,5,12,2,0,6,1,27,25.7,26
2016-17,Regular,51,14/2/17,32,32.13,CLE,Away,MIN,Win,8,39.5,10,14,0.714,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,3,25,23.4,11
2016-17,Regular,52,15/2/17,32,32.13,CLE,Home,IND,Win,9,32.6,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,2,31,24,9
2016-17,Regular,53,23/2/17,32,32.15,CLE,Home,NYK,Win,15,37.1,7,11,0.636,0,2,0,4,6,0.667,0,13,13,15,0,3,6,1,18,22.4,10
2016-17,Regular,Not With Team,25/2/17,32,32.16,CLE,Home,CHI,Lose,-18,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,54,27/2/17,32,32.16,CLE,Home,MIL,Win,7,37.2,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,1,24,21.8,8
2016-17,Regular,55,1/3/17,32,32.17,CLE,Away,BOS,Lose,-4,40,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,3,28,25.5,-3
2016-17,Regular,56,3/3/17,32,32.17,CLE,Away,ATL,Win,5,39.2,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,4,38,29.4,5
2016-17,Regular,Did Not Dress,4/3/17,32,32.18,CLE,Away,MIA,Lose,-28,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,57,6/3/17,32,32.18,CLE,Home,MIA,Lose,-8,38.7,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,2,30,25.8,14
2016-17,Regular,58,9/3/17,32,32.19,CLE,Away,DET,Lose,-5,39.1,12,22,0.545,0,6,0,5,8,0.625,4,10,14,10,1,0,3,1,29,27.6,18
2016-17,Regular,59,11/3/17,32,32.19,CLE,Away,ORL,Win,12,37.6,8,14,0.571,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,3,24,23.3,12
2016-17,Regular,60,12/3/17,32,32.2,CLE,Away,HOU,Lose,-5,40.2,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,2,30,19.2,-9
2016-17,Regular,61,14/3/17,32,32.2,CLE,Home,DET,Win,32,28.4,6,12,0.5,0,2,0,4,5,0.8,0,11,11,12,0,0,2,0,16,19.3,22
2016-17,Regular,62,16/3/17,32,32.21,CLE,Home,UTA,Win,8,38.3,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,0,33,26.1,14
2016-17,Regular,Did Not Play,18/3/17,32,32.21,CLE,Away,LAC,Lose,-30,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,63,19/3/17,32,32.22,CLE,Away,LAL,Win,5,37.9,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,2,34,26.5,12
2016-17,Regular,64,22/3/17,32,32.22,CLE,Away,DEN,Lose,-13,34.2,8,12,0.667,0,2,0,2,4,0.5,2,4,6,5,0,0,4,1,18,13.7,-30
2016-17,Regular,65,24/3/17,32,32.23,CLE,Away,CHO,Win,7,39.9,9,14,0.643,0,1,0,14,16,0.875,0,9,9,11,1,2,4,2,32,33,1
2016-17,Regular,66,25/3/17,32,32.23,CLE,Home,WAS,Lose,-12,40.6,10,21,0.476,0,4,0,4,6,0.667,3,8,11,8,0,1,3,2,24,19.5,-11
2016-17,Regular,67,27/3/17,32,32.24,CLE,Away,SAS,Lose,-29,29.5,7,17,0.412,0,3,0,3,6,0.5,3,5,8,8,0,0,2,3,17,12.7,-13
2016-17,Regular,68,30/3/17,32,32.25,CLE,Away,CHI,Lose,-6,39.1,11,20,0.55,1,7,0.143,3,7,0.429,1,9,10,8,1,1,4,0,26,21.5,-3
2016-17,Regular,69,31/3/17,32,32.25,CLE,Home,PHI,Win,17,29.9,14,22,0.636,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,2,34,27.9,31
2016-17,Regular,70,2/4/17,32,32.25,CLE,Home,IND,Win,5,51.7,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,4,41,38.3,-1
2016-17,Regular,71,4/4/17,32,32.26,CLE,Home,ORL,Win,20,37.1,7,14,0.5,0,3,0,4,6,0.667,1,10,11,11,2,1,6,2,18,17.5,17
2016-17,Regular,72,5/4/17,32,32.26,CLE,Away,BOS,Win,23,38.6,14,22,0.636,1,4,0.25,7,7,1,2,8,10,6,1,2,3,3,36,32.4,32
2016-17,Regular,73,7/4/17,32,32.27,CLE,Home,ATL,Lose,-14,41.4,12,15,0.8,1,2,0.5,2,6,0.333,1,7,8,7,2,0,5,0,27,24.4,-15
2016-17,Regular,74,9/4/17,32,32.27,CLE,Away,ATL,Lose,-1,46.8,11,21,0.524,1,3,0.333,9,10,0.9,3,13,16,10,1,0,3,6,32,29.9,2
2016-17,Regular,Did Not Play,10/4/17,32,32.28,CLE,Away,MIA,Lose,-3,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,Inactive,12/4/17,32,32.28,CLE,Home,TOR,Lose,-15,,,,,,,,,,,,,,,,,,,,,
2016-17,Playoffs,1,15/4/17,32,32.29,CLE,Home,IND,Win,1,42.7,12,20,0.6,2,3,0.667,6,9,0.667,1,5,6,13,3,0,3,3,32,31.7,5
2016-17,Playoffs,2,17/4/17,32,32.3,CLE,Home,IND,Win,6,42.3,11,20,0.55,0,2,0,3,6,0.5,0,10,10,7,4,4,8,2,25,20.1,6
2016-17,Playoffs,3,20/4/17,32,32.3,CLE,Away,IND,Win,5,45.2,14,27,0.519,6,12,0.5,7,14,0.5,1,12,13,12,1,2,3,4,41,35.4,13
2016-17,Playoffs,4,23/4/17,32,32.31,CLE,Away,IND,Win,4,44.7,13,25,0.52,1,3,0.333,6,9,0.667,0,10,10,4,4,2,4,1,33,26.3,4
2016-17,Playoffs,5,1/5/17,32,32.33,CLE,Home,TOR,Win,11,41,13,23,0.565,2,5,0.4,7,8,0.875,2,8,10,4,1,1,3,2,35,28.2,16
2016-17,Playoffs,6,3/5/17,32,32.34,CLE,Home,TOR,Win,22,36.6,10,14,0.714,4,6,0.667,15,21,0.714,1,5,6,4,3,2,3,3,39,36,24
2016-17,Playoffs,7,5/5/17,32,32.35,CLE,Away,TOR,Win,21,40.6,9,16,0.563,2,4,0.5,15,16,0.938,0,8,8,7,1,0,5,1,35,29.9,20
2016-17,Playoffs,8,7/5/17,32,32.35,CLE,Away,TOR,Win,7,46.2,11,22,0.5,5,12,0.417,8,9,0.889,1,8,9,6,0,1,6,1,35,25.2,7
2016-17,Playoffs,9,17/5/17,32,32.38,CLE,Away,BOS,Win,13,42,14,24,0.583,1,6,0.167,9,11,0.818,2,7,9,7,2,0,2,2,38,33.6,17
2016-17,Playoffs,10,19/5/17,32,32.38,CLE,Away,BOS,Win,44,32.8,12,18,0.667,4,6,0.667,2,4,0.5,0,4,4,7,4,3,1,1,30,32.2,46
2016-17,Playoffs,11,21/5/17,32,32.39,CLE,Home,BOS,Lose,-3,45.1,4,13,0.308,0,4,0,3,6,0.5,1,5,6,6,1,1,6,2,11,3.6,1
2016-17,Playoffs,12,23/5/17,32,32.39,CLE,Home,BOS,Win,13,38.3,15,27,0.556,1,6,0.167,3,4,0.75,0,5,5,6,1,1,5,4,34,21.5,7
