Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
1991-92,Regular,22,17/12/91,28,28.83,CHI,Home,LAL,Lose,-13,38.00,6,20,0.3,0,3,0,9,10,0.9,0,4,4,7,3,3,0,3,21,19,
1991-92,Regular,23,20/12/91,28,28.84,CHI,Away,NJN,Win,17,30.00,8,18,0.444,0,0,,8,8,1,1,4,5,4,1,2,0,0,24,21.7,
1991-92,Regular,24,21/12/91,28,28.84,CHI,Home,ATL,Win,14,43.00,16,24,0.667,2,2,1,3,3,1,1,8,9,10,4,1,3,2,37,37.6,
1991-92,Regular,25,25/12/91,28,28.85,CHI,Home,BOS,Win,22,35.00,6,14,0.429,0,1,0,2,2,1,1,7,8,5,2,3,2,2,14,14.2,
1991-92,Regular,26,26/12/91,28,28.85,CHI,Away,ATL,Win,11,44.00,15,31,0.484,1,2,0.5,3,4,0.75,1,2,3,6,2,3,4,1,34,23.1,
1991-92,Regular,27,28/12/91,28,28.86,CHI,Home,SAC,Win,9,36.00,11,20,0.55,0,1,0,11,12,0.917,0,2,2,8,3,3,6,5,33,26.3,
1991-92,Regular,28,30/12/91,28,28.87,CHI,Away,IND,Win,5,44.00,10,19,0.526,0,1,0,9,11,0.818,2,4,6,7,3,2,4,4,29,25.2,
1991-92,Regular,29,3/1/92,28,28.88,CHI,Away,MIL,Lose,-5,40.00,19,29,0.655,0,2,0,6,8,0.75,2,4,6,7,1,0,1,4,44,36.4,
1991-92,Regular,30,4/1/92,28,28.88,CHI,Home,NJN,Win,44,32.00,12,20,0.6,0,0,,3,4,0.75,2,3,5,1,1,2,0,1,27,22.4,
1991-92,Regular,31,7/1/92,28,28.89,CHI,Home,WSB,Win,13,37.00,7,15,0.467,1,1,1,6,6,1,0,5,5,9,4,1,3,3,21,21.6,
1991-92,Regular,32,8/1/92,28,28.89,CHI,Away,MIA,Win,2,47.00,17,27,0.63,0,0,,6,9,0.667,0,6,6,8,1,2,4,3,40,31.3,
1991-92,Regular,33,10/1/92,28,28.9,CHI,Home,UTA,Win,15,37.00,15,25,0.6,1,2,0.5,6,6,1,1,4,5,4,1,1,2,3,37,28.7,
1991-92,Regular,34,11/1/92,28,28.9,CHI,Home,MIA,Win,9,39.00,10,19,0.526,0,0,,10,10,1,0,6,6,7,1,1,1,4,30,26.5,
1991-92,Regular,35,14/1/92,28,28.91,CHI,Home,PHI,Win,23,33.00,11,20,0.55,0,1,0,4,4,1,0,5,5,4,5,2,2,0,26,25.1,
1991-92,Regular,36,16/1/92,28,28.91,CHI,Away,CLE,Win,15,39.00,15,26,0.577,0,2,0,5,6,0.833,0,4,4,8,2,1,2,4,35,28.3,
1991-92,Regular,37,17/1/92,28,28.92,CHI,Home,SAS,Win,6,38.00,10,23,0.435,1,1,1,10,10,1,0,4,4,8,1,0,1,3,31,24.5,
1991-92,Regular,38,19/1/92,28,28.92,CHI,Away,DET,Win,2,45.00,12,27,0.444,0,2,0,10,14,0.714,0,6,6,6,2,0,3,3,34,22.1,
1991-92,Regular,39,21/1/92,28,28.93,CHI,Home,PHO,Win,6,41.00,13,23,0.565,0,0,,4,5,0.8,2,3,5,7,5,1,4,3,30,26.4,
